Index,Name,Frequency (MHz),Modulation,CTCSS,Delay (sec),Lockout,Priority
1,IMS RADIO,454.0000,auto,none,2,locked,off
2,ROSSI,464.4625,auto,none,2,locked,off
3,NEWGARDEN,464.9250,auto,none,2,locked,off
4,MCLAUGHLIN,466.8250,auto,none,2,locked,off
5,SIMPSON,452.7000,auto,none,2,locked,off
6,O'WARD,469.4375,auto,none,2,locked,off
7,CASTRONEVES,460.3375,auto,none,2,locked,off
8,ILOTT,462.7875,auto,none,2,locked,off
9,LUNDQVIST,457.0250,auto,none,2,locked,off
10,DIXON,456.6500,auto,none,2,locked,off
11,PALOU,467.0375,auto,none,2,locked,off
12,LARSON,456.1375,auto,none,2,locked,off
13,RAHAL,466.9125,auto,none,2,locked,off
14,FERRUCCI,467.0750,auto,none,2,locked,off
15,POWER,466.2125,auto,none,2,locked,off
16,ARMSTRONG,466.1000,auto,none,2,locked,off
17,CARPENTER,469.1125,auto,none,2,locked,off
18,VEEKAY,469.9250,auto,none,2,locked,off
19,HUNTER-REAY,453.3750,auto,none,2,locked,off
20,DALY,461.0125,auto,none,2,locked,off
21,HERTA,464.1375,auto,none,2,locked,off
22,KIRKWOOD,469.1375,auto,none,2,locked,off
23,ERICSSON,469.3000,auto,none,2,locked,off
24,FITTIPALDI,468.2625,auto,none,2,locked,off
25,RASMUSSEN,467.7125,auto,none,2,locked,off
26,ROBB,463.0125,auto,none,2,locked,off
27,LUNDGAARD,466.3125,auto,none,2,locked,off
28,LEGGE,463.6000,auto,none,2,locked,off
29,ROSENQVIST,461.0750,auto,none,2,locked,off
30,BLOMQVIST,452.8000,auto,none,2,locked,off
31,SATO,460.4250,auto,none,2,locked,off
32,GROSJEAN,459.6500,auto,none,2,locked,off
33,CANAPINO,458.1000,auto,none,2,locked,off
34,ANDRETTI,468.4875,auto,none,2,locked,off
35,,000.0000,auto,none,2,locked,off
36,,000.0000,auto,none,2,locked,off
37,,000.0000,auto,none,2,locked,off
38,,000.0000,auto,none,2,locked,off
39,,000.0000,auto,none,2,locked,off
40,,000.0000,auto,none,2,locked,off
41,,000.0000,auto,none,2,locked,off
42,,000.0000,auto,none,2,locked,off
43,,000.0000,auto,none,2,locked,off
44,,000.0000,auto,none,2,locked,off
45,,000.0000,auto,none,2,locked,off
46,,000.0000,auto,none,2,locked,off
47,,000.0000,auto,none,2,locked,off
48,,000.0000,auto,none,2,locked,off
49,,000.0000,auto,none,2,locked,off
50,,000.0000,auto,none,2,locked,off
51,,000.0000,auto,none,2,locked,off
52,,000.0000,auto,none,2,locked,off
53,,000.0000,auto,none,2,locked,off
54,,000.0000,auto,none,2,locked,off
55,,000.0000,auto,none,2,locked,off
56,,000.0000,auto,none,2,locked,off
57,,000.0000,auto,none,2,locked,off
58,,000.0000,auto,none,2,locked,off
59,,000.0000,auto,none,2,locked,off
60,,000.0000,auto,none,2,locked,off
61,,000.0000,auto,none,2,locked,off
62,,000.0000,auto,none,2,locked,off
63,,000.0000,auto,none,2,locked,off
64,,000.0000,auto,none,2,locked,off
65,,000.0000,auto,none,2,locked,off
66,,000.0000,auto,none,2,locked,off
67,,000.0000,auto,none,2,locked,off
68,,000.0000,auto,none,2,locked,off
69,,000.0000,auto,none,2,locked,off
70,,000.0000,auto,none,2,locked,off
71,,000.0000,auto,none,2,locked,off
72,,000.0000,auto,none,2,locked,off
73,,000.0000,auto,none,2,locked,off
74,,000.0000,auto,none,2,locked,off
75,,000.0000,auto,none,2,locked,off
76,,000.0000,auto,none,2,locked,off
77,,000.0000,auto,none,2,locked,off
78,,000.0000,auto,none,2,locked,off
79,,000.0000,auto,none,2,locked,off
80,,000.0000,auto,none,2,locked,off
81,,000.0000,auto,none,2,locked,off
82,,000.0000,auto,none,2,locked,off
83,,000.0000,auto,none,2,locked,off
84,,000.0000,auto,none,2,locked,off
85,,000.0000,auto,none,2,locked,off
86,,000.0000,auto,none,2,locked,off
87,,000.0000,auto,none,2,locked,off
88,,000.0000,auto,none,2,locked,off
89,,000.0000,auto,none,2,locked,off
90,,000.0000,auto,none,2,locked,off
91,,000.0000,auto,none,2,locked,off
92,,000.0000,auto,none,2,locked,off
93,,000.0000,auto,none,2,locked,off
94,,000.0000,auto,none,2,locked,off
95,,000.0000,auto,none,2,locked,off
96,,000.0000,auto,none,2,locked,off
97,,000.0000,auto,none,2,locked,off
98,,000.0000,auto,none,2,locked,off
99,,000.0000,auto,none,2,locked,off
100,,000.0000,auto,none,2,locked,off
